Sample	per_tile_sequence_quality	per_base_n_content	%GC	avg_sequence_length	File type	Total Sequences	per_base_sequence_quality	per_sequence_gc_content	Sequence length	basic_statistics	per_base_sequence_content	Sequences flagged as poor quality	sequence_duplication_levels	overrepresented_sequences	Encoding	total_deduplicated_percentage	adapter_content	sequence_length_distribution	per_sequence_quality_scores	Filename
SRR6703983_frozen_501f_2_fastqc | SRR6703983_frozen_501f_2	warn	pass	48.0	51.0	Conventional base calls	22776583.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	86.02733035595955	pass	pass	pass	SRR6703983_frozen_501f_2.fastq.gz
SRR6703983_frozen_501f_2_val_2	warn	pass	48.0	50.6273458107381	Conventional base calls	22549187.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	86.64857566968448	pass	warn	pass	SRR6703983_frozen_501f_2_val_2.fq.gz
SRR6703984_frozen_506_1	pass	pass	49.0	51.0	Conventional base calls	21152467.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.68431013787567	pass	pass	pass	SRR6703984_frozen_506_1.fastq.gz
SRR6703984_frozen_506_1_fastqc | SRR6703984_frozen_506_1	pass	pass	49.0	51.0	Conventional base calls	21152467.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.68431013787567	pass	pass	pass	SRR6703984_frozen_506_1.fastq.gz
SRR6703984_frozen_506_1_val_1	pass	pass	49.0	50.79955978217831	Conventional base calls	20898745.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	88.07007939896485	pass	warn	pass	SRR6703984_frozen_506_1_val_1.fq.gz
SRR6703984_frozen_506_2	pass	pass	48.0	51.0	Conventional base calls	21152467.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.97451877843386	pass	pass	pass	SRR6703984_frozen_506_2.fastq.gz
SRR6703984_frozen_506_2_fastqc | SRR6703984_frozen_506_2	pass	pass	48.0	51.0	Conventional base calls	21152467.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.97451877843386	pass	pass	pass	SRR6703984_frozen_506_2.fastq.gz
SRR6703984_frozen_506_2_val_2	pass	pass	48.0	50.59048067240401	Conventional base calls	20898745.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	88.36723608622383	pass	warn	pass	SRR6703984_frozen_506_2_val_2.fq.gz
SRR6703985_frozen_506f_1	pass	pass	49.0	51.0	Conventional base calls	23859640.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	84.23656083609843	pass	pass	pass	SRR6703985_frozen_506f_1.fastq.gz
SRR6703985_frozen_506f_1_fastqc | SRR6703985_frozen_506f_1	pass	pass	49.0	51.0	Conventional base calls	23859640.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	84.23656083609843	pass	pass	pass	SRR6703985_frozen_506f_1.fastq.gz
