Sample	tss_up_5kb_total_bases	tes_down_1kb_tags_kb	3_utr_exons_tag_pct	tss_up_1kb_tag_count	tes_down_5kb_tags_kb	tes_down_5kb_tag_count	introns_total_bases	tss_up_10kb_tags_kb	tes_down_10kb_tag_count	tes_down_5kb_tag_pct	cds_exons_total_bases	tss_up_5kb_tag_pct	tes_down_1kb_tag_pct	cds_exons_tag_pct	total_assigned_tags	other_intergenic_tag_count	introns_tag_count	5_utr_exons_tag_pct	3_utr_exons_total_bases	tes_down_1kb_total_bases	introns_tags_kb	tss_up_10kb_tag_pct	tes_down_5kb_total_bases	tes_down_10kb_tags_kb	introns_tag_pct	tss_up_5kb_tags_kb	5_utr_exons_tag_count	tes_down_1kb_tag_count	total_reads	5_utr_exons_total_bases	3_utr_exons_tag_count	tss_up_10kb_tag_count	tss_up_1kb_total_bases	cds_exons_tag_count	total_tags	3_utr_exons_tags_kb	tss_up_1kb_tag_pct	tes_down_10kb_tag_pct	tes_down_10kb_total_bases	other_intergenic_tag_pct	tss_up_10kb_total_bases	tss_up_5kb_tag_count	tss_up_1kb_tags_kb	5_utr_exons_tags_kb	cds_exons_tags_kb
SRR6703979	16336993	162687.0	5.193017663857465	100292	710659.0	710659	137074997	674615.0	1161744	2.377440186550332	5533545	1.2603301002028249	0.5442534487416805	14.118196137719771	9576275	20315497	1754401	0.7127412854614307	5273334	3524561	1754401.0	2.2568585094252693	16813800	1161744.0	5.869176976192645	376735.0	213051	162687	26643098	867788	1552285	674615	3384361	4220179	29891772	1552285.0	0.3355170780775392	3.8865009407940083	32612596	67.9635084865494	31930965	376735	100292.0	213051.0	4220179.0
SRR6703980	16336993	221547.0	5.315076795277849	111230	950295.0	950295	137074997	908017.0	1558521	2.718708955768521	5533545	1.3996632765544637	0.6338261413809907	13.702170690103399	11760315	23193592	2414060	0.665007205060081	5273334	3524561	2414060.0	2.5977553811080405	16813800	1558521.0	6.906409632548373	489237.0	232446	221547	31161704	867788	1857827	908017	3384361	4789444	34953907	1857827.0	0.318219076339592	4.458789113331451	32612596	66.3547911825708	31930965	489237	111230.0	232446.0	4789444.0
SRR6703981	16336993	240332.0	5.293088492224119	124994	1031016.0	1031016	137074997	935154.0	1696891	2.675389217030563	5533545	1.3073238330897539	0.6236388584729909	13.332282569549244	12786071	25750976	2729422	0.6407756152151461	5273334	3524561	2729422.0	2.426636374084397	16813800	1696891.0	7.082592498589733	503804.0	246936	240332	34597897	867788	2039800	935154	3384361	5137868	38537047	2039800.0	0.324347633590088	4.403271999538521	32612596	66.82135245079884	31930965	503804	124994.0	246936.0	5137868.0
SRR6703982	16336993	256485.0	4.127422081693821	168945	1186117.0	1186117	137074997	1164392.0	1951262	2.358382324423378	5533545	1.275114766433127	0.509974724651725	13.553489207558112	15338024	34955645	2863410	0.9277131879163559	5273334	3524561	2863410.0	2.3151860326594984	16813800	1951262.0	5.693380612180034	641302.0	466581	256485	44781184	867788	2075832	1164392	3384361	6816547	50293669	2075832.0	0.3359170316247956	3.8797368312898386	32612596	69.50307204670234	31930965	641302	168945.0	466581.0	6816547.0
SRR6703983	16336993	285573.0	4.594427931946283	167906	1264578.0	1264578	137074997	1246996.0	2076852	2.5293684669512237	5533545	1.3806239724136828	0.5711939802943446	14.149310542085535	16261079	33734721	3200806	0.7307473827801536	5273334	3524561	3200806.0	2.494201512927086	16813800	2076852.0	6.402149780581569	690254.0	365343	285573	44314283	867788	2297021	1246996	3384361	7074061	49995800	2297021.0	0.33584021057768854	4.154052940446998	32612596	67.47510990923237	31930965	690254	167906.0	365343.0	7074061.0
SRR6703984	16336993	250293.0	4.662069973449176	158750	1107288.0	1107288	137074997	1090935.0	1803312	2.399618709392493	5533545	1.3166947853247672	0.5424133248350702	14.000905116600345	14545153	31599178	2632249	0.8814777269173109	5273334	3524561	2632249.0	2.3641799032691577	16813800	1803312.0	5.704382191606592	607580.0	406752	250293	40936245	867788	2151281	1090935	3384361	6460624	46144331	2151281.0	0.3440292589787465	3.90798167601563	32612596	68.47900341214178	31930965	607580	158750.0	406752.0	6460624.0
SRR6703985	16336993	299523.0	4.391706014067606	188732	1349352.0	1349352	137074997	1311522.0	2196621	2.5659670870972198	5533545	1.4055530499478677	0.5695816657392738	14.444788280122674	16915394	35671095	3065201	0.8302493821179048	5273334	3524561	3065201.0	2.494028456625047	16813800	2196621.0	5.828875550143688	739131.0	436599	299523	46352223	867788	2309444	1311522	3384361	7596007	52586489	2309444.0	0.35889827137917496	4.177158509289335	32612596	67.83319380763373	31930965	739131	188732.0	436599.0	7596007.0
SRR6703986	16336993	250403.0	4.1366820411446135	159389	1126252.0	1126252	137074997	1089251.0	1858372	2.305070581391698	5533545	1.224387871557786	0.5124932863979158	12.775211635292042	14816049	34043713	3187899	0.8543144356699897	5273334	3524561	3187899.0	2.2293416001494237	16813800	1858372.0	6.524589702258476	598233.0	417416	250403	43844200	867788	2021173	1089251	3384361	6241938	48859762	2021173.0	0.32621730740317567	3.8034814823698895	32612596	69.67637910311556	31930965	598233	159389.0	417416.0	6241938.0
SRR6703987	16336993	330321.0	4.309235866004222	200158	1443969.0	1443969	137074997	1445423.0	2390055	2.360877909008602	5533545	1.2882658660655346	0.5400722257760593	13.259491640081015	19018525	42143850	3966672	0.7699570201451464	5273334	3524561	3966672.0	2.363255187523375	16813800	2390055.0	6.485477387037373	787934.0	470924	330321	54653322	867788	2635631	1445423	3384361	8109820	61162375	2635631.0	0.3272567489408317	3.907721045822697	32612596	68.90486185338617	31930965	787934	200158.0	470924.0	8109820.0
SRR6703988	16336993	256971.0	4.150974283456317	151257	1170904.0	1170904	137074997	1149502.0	1964086	2.3386981395359334	5533545	1.2181182194788303	0.513259498314711	13.558462769716598	15621588	34444899	3204758	0.8723380172449486	5273334	3524561	3204758.0	2.295950982141008	16813800	1964086.0	6.401004328504214	609869.0	436749	256971	44619971	867788	2078247	1149502	3384361	6788246	50066487	2078247.0	0.3021122692311126	3.922955489167834	32612596	68.79831412976908	31930965	609869	151257.0	436749.0	6788246.0
SRR6703989	16336993	222134.0	3.950652969905946	116856	989273.0	989273	137074997	950622.0	1651374	2.2357742916003396	5533545	1.137733489470409	0.5020267271929487	11.341753179194866	12579779	31667666	2927698	0.6409093225608846	5273334	3524561	2927698.0	2.1484223552342967	16813800	1651374.0	6.616648712710981	503418.0	283586	222134	40191784	867788	1748063	950622	3384361	5018436	44247445	1748063.0	0.26409660490001174	3.73213413791463	32612596	71.56947932247839	31930965	503418	116856.0	283586.0	5018436.0
